id,key,status,superseded_by,country,code,series,designation,alt_designation,h,b,tw,tf,r1,r2,flange_slope,mass,availability
0xA5EB950189,AS3679.1:100TFB,active,,Australia/NZ,AS/NZS 3679.1,TFB,100TFB,,100,45,4.2,6.8,8,4,8,7.2,legacy
0x69E9261F56,AS3679.1:100UC14.8,active,,Australia/NZ,AS/NZS 3679.1,UC,100UC14.8,,97,99,4.2,7.0,10,0,0,14.8,current
0xF61D03D530,AS3679.1:125TFB,active,,Australia/NZ,AS/NZS 3679.1,TFB,125TFB,,125,65,5.0,8.5,9,4.5,8,13.1,legacy
0xBD1BDAE6F3,AS3679.1:150UB14.0,active,,Australia/NZ,AS/NZS 3679.1,UB,150UB14.0,,150,75,5.0,7.0,8,0,0,14.0,current
0x5B65ED9C6C,AS3679.1:150UC37.2,active,,Australia/NZ,AS/NZS 3679.1,UC,150UC37.2,,162,154,8.1,11.5,8.9,0,0,37.2,current
0xD5788E4346,AS3679.1:200UB25.4,active,,Australia/NZ,AS/NZS 3679.1,UB,200UB25.4,,203,133,5.8,9.6,8.9,0,0,25.4,current
0x289DC9405C,AS3679.1:200UC59.5,active,,Australia/NZ,AS/NZS 3679.1,UC,200UC59.5,,210,205,9.3,14.2,11.4,0,0,59.5,current
0xD83A99A2C4,AS3679.1:250UB37.3,active,,Australia/NZ,AS/NZS 3679.1,UB,250UB37.3,,256,146,6.4,10.9,8.9,0,0,37.3,current
0xFC5685DA92,AS3679.1:250UC89.5,active,,Australia/NZ,AS/NZS 3679.1,UC,250UC89.5,,260,256,10.5,17.3,14,0,0,89.5,current
0x47A57A45F3,AS3679.1:310UB40.4,active,,Australia/NZ,AS/NZS 3679.1,UB,310UB40.4,,304,165,6.1,10.2,11.4,0,0,40.4,current
0xA04710B44D,AS3679.1:310UC137,active,,Australia/NZ,AS/NZS 3679.1,UC,310UC137,,321,309,13.8,21.7,16.5,0,0,137,current
0x9B0860DA67,AS3679.1:360UB56.7,active,,Australia/NZ,AS/NZS 3679.1,UB,360UB56.7,,359,172,8.0,13.0,11.4,0,0,56.7,current
0x9DFD6FA476,AS3679.1:410UB59.7,active,,Australia/NZ,AS/NZS 3679.1,UB,410UB59.7,,406,178,7.8,12.8,11.4,0,0,59.7,current
0xCC947CCADF,AS3679.1:460UB82.1,active,,Australia/NZ,AS/NZS 3679.1,UB,460UB82.1,,460,191,9.9,16.0,11.4,0,0,82.1,current
0x60EBF11FE6,AS3679.1:530UB92.4,active,,Australia/NZ,AS/NZS 3679.1,UB,530UB92.4,,533,209,10.2,15.6,14,0,0,92.4,current
0xF122C8F495,AS3679.1:610UB125,active,,Australia/NZ,AS/NZS 3679.1,UB,610UB125,,612,229,11.9,19.6,14,0,0,125,current
0x5AFC833A3D,AS3679.2:350WC197,active,,Australia/NZ,AS/NZS 3679.2,WC,350WC197,,331,350,20.0,28.0,0,0,0,197,current
0x9CBFB97DCE,AS3679.2:700WB115,active,,Australia/NZ,AS/NZS 3679.2,WB,700WB115,,692,250,10.0,16.0,0,0,0,115,current
0x9D11CD4AF1,AS3679.2:900WB218,active,,Australia/NZ,AS/NZS 3679.2,WB,900WB218,,924,350,12.0,25.0,0,0,0,218,current
0x80C1E02254,ASTM-A6:HP10X42,active,,USA,ASTM A6 / AISC,HP,HP10X42,HP250X62,246,256,10.5,10.7,12,0,0,62,current
