WorldID,ShortWordName,English,Human,Comments,Grok,ChatGPT,Gemini,Claude
8197,ProjectOpen,Project Open,Project Open,Open an existing project,,,,
8198,ProjectSave,Project Save,Project Save,Save current project,,,,
8199,ProjectClose,Project Close,Project Close,Close current project,,,,
16387,ViewTree,View Tree,View Tree,Toggle tree view,,,,
16388,View Perspective Iso Dropdown,Perspective View,Perspective View,Dropdown for perspective/isometric views,,,,
16389,ViewMaxZoom,Max Zoom,Max Zoom,Zoom to maximum,,,,
16390,ViewRotate,Rotate,Rotate,Rotate view,,,,
16391,ViewPan,Pan,Pan,Pan view,,,,
20483,SelectGeneral,Select,Select,General selection tool,,,,
20484,SelectPipes,Select Pipes,Select Pipes,Select pipe elements,,,,
20485,SelectFittings,Select Fittings,Select Fittings,Select pipe fittings,,,,
24577,CreateLine,Line,Line,Create a line,,,,
24578,CreatePolyline,Polyline,Polyline,Create a polyline,,,,
24579,CreateCircle,Circle,Circle,,,,,
24580,CreateArc,Arc,Arc,Create an arc,,,,
32769,CreateFolder,Folder,Folder,Create a folder,,,,
32770,CreateGrid,Grid,Grid,Create grid system,,,,
36865,VerticalVessel,Vertical Vessel,Vertical Vessel,Create vertical vessel equipment,,,,
40961,CreatePiping,Piping,Piping,Create piping system,,,,
45057,LoadCase,Load Case,Load Case,Define load case,,,,
49153,CodeIS456,IS456,IS456,Indian concrete design code,,,,
53249,GeneralDrawing,Drawing,Drawing,Create general drawing,,,,
65537,ImportSTD,Import STD,Import STD,Import standard file,,,,
65538,ImportCII,Import CII,Import CII,Import CII format,,,,
65539,ImportDXF,Import DXF,Import DXF,Import DXF file,,,,
65540,ImportDWG,Import DWG,Import DWG,Import DWG file,,,,
65541,ExportSTD,Export STD,Export STD,Export standard file,,,,
65542,ExportDWG,Export DWG,Export DWG,Export DWG file,,,,
